Area_desc,full_name
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Lorenzo Frassineti
SCIENZE ECONOMICHE E STATISTICHE ,ROBERTA PACE
SCIENZE POLITICHE E SOCIALI ,FRANCESCA ZANASI
SCIENZE ECONOMICHE E STATISTICHE ,Chiara Ludovica Comolli
SCIENZE MEDICHE,Miriam Capri
SCIENZE GIURIDICHE ,Matteo DE PAMPHILIS
SCIENZE ECONOMICHE E STATISTICHE ,ANNA PATERNO
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Daniele  Luigi Romano
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Felicia Fiore
SCIENZE POLITICHE E SOCIALI ,Sara Nanetti
SCIENZE POLITICHE E SOCIALI ,ALICE LOMONACO
SCIENZE POLITICHE E SOCIALI ,Daniela Grignoli
SCIENZE ECONOMICHE E STATISTICHE ,Elisa Brini
SCIENZE ECONOMICHE E STATISTICHE ,Annalisa Donno
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Frida Milella
SCIENZE ECONOMICHE E STATISTICHE ,Gustavo De Santis
SCIENZE ECONOMICHE E STATISTICHE ,Claudia Salvatore
SCIENZE ECONOMICHE E STATISTICHE ,Rossella  Miglio
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Enrico Boni
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Margherita  Romiti
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Sella  Enrico
SCIENZE ECONOMICHE E STATISTICHE ,ELEONORA TRAPPOLINI
SCIENZE ECONOMICHE E STATISTICHE ,LUCIA ZANOTTO
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Lorenzo  Pugi 
SCIENZE BIOLOGICHE ,Francesca Barone
SCIENZE POLITICHE E SOCIALI ,Cristina Calvi
SCIENZE ECONOMICHE E STATISTICHE ,Cristina Ugolini
SCIENZE BIOLOGICHE ,Alessandro Silvani
SCIENZE MEDICHE,Antonio Totaro
